district,year,ratio
18,1981,0
18,1982,50
18,1983,16.67
18,1984,8.33
18,1985,9.09
18,1986,13.33
18,1987,5.88
18,1988,11.54
18,1989,7.04
18,1990,11.39
18,1991,10.47
18,1992,12.95
18,1993,7.53
18,1994,10.65
18,1995,8.42
18,1996,10.06
18,1997,6.49
18,1998,6.47
18,1999,6.86
18,2000,3.72
18,2001,3.79
18,2002,1.7
18,2003,2.94
18,2004,2.35
18,2005,4.1
18,2006,7.63
18,2007,4.68
18,2008,4.49
18,2009,5.63
18,2010,7.46
18,2011,4.76
18,2012,4.88
18,2013,17.86
18,2014,4.55
18,2015,4.76
18,2016,0
19,1979,100
19,1980,0
19,1983,0
19,1984,0
19,1985,0
19,1986,0
19,1987,20
19,1988,0
19,1989,14.04
19,1990,12.82
19,1991,2.33
19,1992,4.67
19,1993,5.77
19,1994,4.55
19,1995,7.24
19,1996,9.35
19,1997,3.65
19,1998,6.54
19,1999,2.2
19,2000,4.52
19,2001,2.68
19,2002,7.61
19,2003,5.75
19,2004,10.71
19,2005,0
19,2006,10
19,2007,1.89
19,2008,2.78
19,2009,3.77
19,2010,2.7
19,2011,13.33
19,2012,4.35
19,2013,4.55
19,2014,3.12
19,2015,5
19,2016,0
20,1979,0
20,1982,0
20,1983,0
20,1984,20
20,1985,0
20,1986,30.77
20,1987,0
20,1988,66.67
20,1989,8.47
20,1990,17.19
20,1991,8.94
20,1992,3.9
20,1993,5.26
20,1994,5.16
20,1995,5.2
20,1996,4.35
20,1997,4.97
20,1998,8
20,1999,5.15
20,2000,1.42
20,2001,3.52
20,2002,2.04
20,2003,3.37
20,2004,2.67
20,2005,2.27
20,2006,4.44
20,2007,5.45
20,2008,2.17
20,2009,13.51
20,2010,0
20,2011,0
20,2012,18.18
20,2013,7.14
20,2014,0
20,2015,7.69
20,2016,0
21,1971,100
21,1981,100
21,1984,10
21,1985,0
21,1986,0
21,1987,14.29
21,1988,14.29
21,1989,12.86
21,1990,11.94
21,1991,6.51
21,1992,7.04
21,1993,12.43
21,1994,6.76
21,1995,8.92
21,1996,8.96
21,1997,10
21,1998,10.18
21,1999,8.64
21,2000,7.89
21,2001,2.89
21,2002,7.87
21,2003,14.53
21,2004,12.12
21,2005,13.19
21,2006,11.29
21,2007,4.79
21,2008,7.64
21,2009,4.65
21,2010,4.31
21,2011,10.57
21,2012,0
22,1980,0
22,1981,0
22,1982,0
22,1983,25
22,1984,25
22,1985,0
22,1986,66.67
22,1987,0
22,1988,44.44
22,1989,9.09
22,1990,2.86
22,1991,10.22
22,1992,12.03
22,1993,4.07
22,1994,6.15
22,1995,8.33
22,1996,4.35
22,1997,4.85
22,1998,7.83
22,1999,3.12
22,2000,3.61
22,2001,8.86
22,2002,1
22,2003,3.43
22,2004,0.68
22,2005,2.99
22,2006,6.25
22,2007,3
22,2008,8.22
22,2009,2.06
22,2010,0
22,2011,12.5
22,2012,6.12
22,2013,0
22,2014,8.7
22,2015,0
22,2016,0
23,1970,100
23,1979,33.33
23,1981,0
23,1982,0
23,1984,0
23,1985,0
23,1986,62.5
23,1987,0
23,1988,58.33
23,1989,3.19
23,1990,16.13
23,1991,3.2
23,1992,6.78
23,1993,6.99
23,1994,7.79
23,1995,6.73
23,1996,1.88
23,1997,6
23,1998,2.26
23,1999,4.29
23,2000,5.94
23,2001,2.07
23,2002,5.7
23,2003,3.33
23,2004,7.04
23,2005,3.19
23,2006,4.17
23,2007,6.8
23,2008,1.32
23,2009,6.96
23,2010,8.59
