gender,race,rank,interactions,outcomes,misconducts,violences,primary_cause,total_settlement
M,White,Police Officer as Detective,"",{Other charges filed},"{Destroy/conceal/fabricate evidence,Forced confession,Threats/intimidation,Witness manipulation,False arrest or report}","",Reversed conviction,3600000.00
M,White,Captain of Police,"",{Other charges filed},"{Destroy/conceal/fabricate evidence,Forced confession,Threats/intimidation,Witness manipulation,False arrest or report}","",Reversed conviction,3600000.00
M,White,Police Officer as Detective,"",{Other charges filed},"{Destroy/conceal/fabricate evidence,Forced confession,Threats/intimidation,Witness manipulation,False arrest or report}","",Reversed conviction,3600000.00
M,White,Captain of Police,"",{Other charges filed},"{Destroy/conceal/fabricate evidence,Forced confession,Threats/intimidation,Witness manipulation,False arrest or report}","",Reversed conviction,3600000.00
M,White,Police Officer as Detective,"",{Other charges filed},"{Destroy/conceal/fabricate evidence,Forced confession,Threats/intimidation,Witness manipulation,False arrest or report}","",Reversed conviction,3600000.00
M,White,Sergeant of Police,"",{Other charges filed},"{Destroy/conceal/fabricate evidence,Forced confession,Threats/intimidation,Witness manipulation,False arrest or report}","",Reversed conviction,3600000.00
M,White,Police Officer as Detective,"",{Other charges filed},"{Destroy/conceal/fabricate evidence,Forced confession,Threats/intimidation,Witness manipulation,False arrest or report}","",Reversed conviction,3600000.00
M,White,Police Officer,{Home invasion},"","{Damage to property,Stolen property,Excessive force,Illegal search/seizure,False arrest or report}",{Physical force},Illegal search/seizure,62000.00
M,White,Police Officer,{Home invasion},"","{Damage to property,Stolen property,Excessive force,Illegal search/seizure,False arrest or report}",{Physical force},Illegal search/seizure,62000.00
M,White,Sergeant of Police,{Home invasion},"","{Damage to property,Stolen property,Excessive force,Illegal search/seizure,False arrest or report}",{Physical force},Illegal search/seizure,62000.00
F,Black,Police Officer,{Home invasion},"","{Damage to property,Stolen property,Excessive force,Illegal search/seizure,False arrest or report}",{Physical force},Illegal search/seizure,62000.00
M,White,Police Officer,{Home invasion},"","{Damage to property,Stolen property,Excessive force,Illegal search/seizure,False arrest or report}",{Physical force},Illegal search/seizure,62000.00
M,White,Police Officer,{Home invasion},"","{Damage to property,Stolen property,Excessive force,Illegal search/seizure,False arrest or report}",{Physical force},Illegal search/seizure,62000.00
M,White,Police Officer,{Home invasion},"","{Damage to property,Stolen property,Excessive force,Illegal search/seizure,False arrest or report}",{Physical force},Illegal search/seizure,62000.00
M,White,Police Officer,{Home invasion},"","{Damage to property,Stolen property,Excessive force,Illegal search/seizure,False arrest or report}",{Physical force},Illegal search/seizure,62000.00
M,White,Police Officer,{Home invasion},"","{Damage to property,Stolen property,Excessive force,Illegal search/seizure,False arrest or report}",{Physical force},Illegal search/seizure,62000.00
